state,x,y
Andhra Pradesh,-71,-143
Andaman & Nicobar Islands,175,-190
Arunachal Pradesh,199,116
Assam,166,72
Bihar,43,62
Chandigarh,-107,159
Chhattisgarh,-25,-22
Dadra & Nagar Haveli,-209,-31
Daman & Diu,-171,-40
Delhi,-100,119
Goa,-154,-130
Gujarat,-203,1
Haryana,-118,132
Himachal Pradesh,-98,187
Jammu & Kashmir,-141,221
Jharkhand,38,20
Karnataka,-122,-151
Kerala,-111,-223
Ladakh,-99,241
Lakshadweep,-172,-231
Madhya Pradesh,-111,16
Maharashtra,-145,-60
Manipur,191,40
Meghalaya,139,58
Mizoram,176,15
Nagaland,205,70
Odisha,28,-37
Puducherry,-55,-192
Punjab,-143,164
Rajasthan,-170,85
Sikkim,99,98
Tamil Nadu,-79,-212
Telangana,-68,-86
Tripura,155,25
Uttar Pradesh,-55,79
Uttarakhand,-60,146
West Bengal,82,12
