state,x,y
Alabama,114,-60
Alaska,-204,-170
Arizona,-230,-47
Arkansas,32,-39
California,-310,1
Colorado,-143,21
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,169,-93
Hawaii,-317,-143
Idaho,-210,120
Illinois,76,37
Indiana,112,32
Iowa,38,65
Kansas,-50,16
Kentucky,149,1
Louisiana,45,-124
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,6,145
Mississippi,74,-87
Missouri,31,-7
Montana,-153,163
Nebraska,-60,62
Nevada,-269,60
New Hampshire,302,127
New Jersey,282,65
New Mexico,-156,-59
New York,236,104
North Carolina,206,-22
North Dakota,-69,164
Ohio,176,52
Oklahoma,-42,-35
Oregon,-292,138
Pennsylvania,202,76
Rhode Island,318,94
South Carolina,196,-53
South Dakota,-71,111
Tennessee,131,-34
Texas,-38,-106
Utah,-191,31
Vermont,282,154
Virginia,220,7
Washington,-296,195
West Virginia,200,20
Wisconsin,53,116
Wyoming,-134,90
