MONTH,BTC_NEWS_SEARCH
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,3
2015-11,3
2015-12,4
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,4
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,6
2017-02,6
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,13
2017-08,21
2017-09,21
2017-10,23
2017-11,44
2017-12,100
2018-01,56
2018-02,42
2018-03,23
2018-04,18
2018-05,14
2018-06,13
2018-07,13
2018-08,13
2018-09,12
2018-10,10
2018-11,14
2018-12,13
2019-01,10
2019-02,10
2019-03,9
2019-04,13
2019-05,17
2019-06,20
2019-07,18
2019-08,16
2019-09,13
2019-10,12
2019-11,12
2019-12,11
2020-01,13
2020-02,14
2020-03,19
2020-04,16
2020-05,21
2020-06,14
2020-07,14
2020-08,16
2020-09,12
2020-10,14
2020-11,25
2020-12,31
2021-01,67
2021-02,68
2021-03,50
2021-04,51
2021-05,65
2021-06,45
2021-07,32
