MONTH,TSLA_WEB_SEARCH,TSLA_USD_CLOSE
01-06-10,9,4.766
01-07-10,9,3.988
01-08-10,7,3.896
01-09-10,7,4.082
01-10-10,8,4.368
01-11-10,7,7.066
01-12-10,7,5.326
01-01-11,8,4.82
01-02-11,8,4.778
01-03-11,8,5.55
01-04-11,9,5.52
01-05-11,8,6.028
01-06-11,8,5.826
01-07-11,7,5.634
01-08-11,7,4.948
01-09-11,8,4.878
01-10-11,8,5.874
01-11-11,8,6.548
01-12-11,8,5.712
01-01-12,8,5.814
01-02-12,10,6.682
01-03-12,8,7.448
01-04-12,8,6.626
01-05-12,10,5.9
01-06-12,10,6.258
01-07-12,10,5.484
01-08-12,9,5.704
01-09-12,10,5.856
01-10-12,10,5.626
01-11-12,13,6.764
01-12-12,10,6.774
01-01-13,11,7.502
01-02-13,13,6.966
01-03-13,13,7.578
01-04-13,14,10.798
01-05-13,20,19.552
01-06-13,17,21.472
01-07-13,18,26.856001
01-08-13,23,33.799999
01-09-13,19,38.674
01-10-13,20,31.988001
01-11-13,19,25.455999
01-12-13,16,30.086
01-01-14,16,36.282001
01-02-14,20,48.962002
01-03-14,23,41.689999
01-04-14,20,41.577999
01-05-14,20,41.554001
01-06-14,20,48.012001
01-07-14,22,44.66
01-08-14,20,53.939999
01-09-14,21,48.535999
01-10-14,26,48.34
01-11-14,20,48.903999
01-12-14,19,44.481998
01-01-15,23,40.720001
01-02-15,24,40.667999
01-03-15,21,37.754002
01-04-15,24,45.209999
01-05-15,32,50.16
01-06-15,24,53.652
01-07-15,25,53.23
01-08-15,27,49.812
01-09-15,29,49.68
01-10-15,31,41.386002
01-11-15,25,46.051998
01-12-15,24,48.001999
01-01-16,24,38.240002
01-02-16,27,38.386002
01-03-16,29,45.953999
01-04-16,59,48.152
01-05-16,30,44.646
01-06-16,28,42.456001
01-07-16,31,46.958
01-08-16,27,42.402
01-09-16,28,40.806
01-10-16,31,39.546001
01-11-16,30,37.880001
01-12-16,28,42.737999
01-01-17,29,50.386002
01-02-17,31,49.998001
01-03-17,30,55.66
01-04-17,35,62.813999
01-05-17,34,68.202003
01-06-17,34,72.321999
01-07-17,49,64.694
01-08-17,41,71.18
01-09-17,35,68.220001
01-10-17,37,66.306
01-11-17,53,61.77
01-12-17,40,62.27
01-01-18,38,70.862
01-02-18,49,68.612
01-03-18,38,53.226002
01-04-18,39,58.779999
01-05-18,40,56.945999
01-06-18,37,68.589996
01-07-18,38,59.627998
01-08-18,45,60.332001
01-09-18,45,52.953999
01-10-18,44,67.463997
01-11-18,38,70.096001
01-12-18,41,66.559998
01-01-19,41,61.403999
01-02-19,38,63.976002
01-03-19,55,55.972
01-04-19,48,47.737999
01-05-19,49,37.032001
01-06-19,50,44.692001
01-07-19,46,48.321999
01-08-19,46,45.122002
01-09-19,48,48.174
01-10-19,51,62.984001
01-11-19,100,65.987999
01-12-19,62,83.666
01-01-20,63,130.113998
01-02-20,79,133.598007
01-03-20,55,104.800003
01-04-20,43,156.376007
01-05-20,52,167
01-06-20,57,215.962006
01-07-20,78,286.152008
01-08-20,76,498.320007
01-09-20,100,429.01001
01-10-20,68,388.040009
01-11-20,65,567.599976
01-12-20,76,705.669983
01-01-21,99,793.530029
01-02-21,89,675.5
01-03-21,82,667.929993
01-04-21,78,709.440002
01-05-21,74,625.219971
01-06-21,66,679.700012
01-07-21,66,678.900024
